"Identificador de URL";"Nombre";"Categorías";"Imagen";"Precio";"Stock";"Descripción";"Mostrar en tienda";"Producto Físico"
"aerosol-[limon-dulce-y-vainilla]";"Aerosol Saphirus - Limón Dulce y Vainilla";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-limon-dulce-y-vainilla-430x430.jpg";4500.00;NO;"Creación con un arranque fascinante de limón Eureka California muy utilizado en la aromaterapia antigua por sus propiedades energizantes.";"SI";"SI"
"aerosol-[new-york]";"Aerosol Saphirus - New York";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-new-york-430x430.jpg";4500.00;NO;"Fragancia oriental amaderada con notas de salida frescas como el eucaliptus y laurel en complemento con las notas cítricas, generando una sensación de frescura y placer.";"SI";"SI"

"aerosol-[naranja-pimienta]";"Aerosol Saphirus - Naranja Pimienta";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-naranja-pimienta-430x430.jpg";4500.00;NO;"Fragancia cítrica especiada con aroma intenso, exótico y equilibrado. Con acordes especiados que lo convierten en único en su estilo.";"SI";"SI"
"aerosol-[frutilla]";"Aerosol Saphirus - Frutilla";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-frutilla-430x430.jpg";4500.00;NO;"Una combinación explosiva de frutilla con notas dulces que hacen de esta fragancia un aroma súper divertido y difusivo en el ambiente.";"SI";"SI"
"aerosol-[palo-santo]";"Aerosol Saphirus - Palo Santo";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-palo-santo-430x430.jpg";4500.00;NO;"Embriagadora fragancia amaderada con mezcla de notas balsámicas y orientales que energiza y sorprende dejando un persistente aroma en el ambiente.";"SI";"SI"
"aerosol-[cristobal]";"Aerosol Saphirus - Cristóbal";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-cristobal-430x430.jpg";4500.00;NO;"Una deliciosa mezcla de coco caribeño, flor de vainilla y piña madura Revelando un corazón floral rosado fresco equilibrado con un fondo balsámico almizclado que seduce los sentidos.";"SI";"SI"
"aerosol-[magnolia-y-fresias]";"Aerosol Saphirus - Magnolia y Fresias";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-magnolia-y-fresia-430x430.jpg";4500.00;NO;"Fragancia floral frutal. Representa la esencia del amor y el romance. Ramo de magnolia y fresias. Una alianza donde la magnolia es alumbrada mágicamente por las fresias, con un corazón muguet, flores blancas y manzana. Sobre un fondo almizclado frutal ámbar con una presencia sutil en tonalidades cálidas, dulces y delicadas que envuelven todas sus etapas.";"SI";"SI"
"aerosol-[paula]";"Aerosol Saphirus - Paula";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-paula-430x430.jpg";4500.00;NO;"Fusión de notas cítricas de bergamota y limón sobre un corazón amable donde se dan cita la rosa y las orquídeas con un fondo ambarado.";"SI";"SI"
"aerosol-[mery]";"Aerosol Saphirus - Mery";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-mery-430x430.jpg";4500.00;NO;"Floral cítrica, radiante, con un corazón floreciente de jazmín y notas verdes, un fondo cálido de tonalidades ambarinas y almizcladas.";"SI";"SI"
"aerosol-[london]";"Aerosol Saphirus - London";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-london-430x430.jpg";4500.00;NO;"Refinada composición gourmet inspirada en la tradición inglesa del five o'clock tea en la zona del Big Ben. Su agradable aroma es la conjunción de los mejores Blends seleccionados y acordes cítricos predominando inconfundiblemente el limón de california. Todo esto lo hacen único en su estilo.";"SI";"SI"
"aerosol-[citronella]";"Aerosol Saphirus - Citronella";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-citronella-430x430.jpg";4500.00;NO;"Planta aromática con diversas aplicaciones de cuyo tallo y hojas emana un agradable perfume cítrico.";"SI";"SI"
"aerosol-[duvet]";"Aerosol Saphirus - Duvet";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-duvet-430x430.jpg";4500.00;NO;"Exquisita nota floral, apolvada, que recuerda la delicada fragancia de un jabón cremoso.";"SI";"SI"

"aerosol-[damasco]";"Aerosol Saphirus - Damasco";"Aerosoles";"[https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-damasco-430x430.jpg";4500.00;NO;"Intensa fragancia con base de damasco con acordes de crema, coco y menta.";"SI";"SI"
"aerosol-[cappuccino]";"Aerosol Saphirus - Cappuccino";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-cappuccino-430x430.jpg";4500.00;NO;"Sofisticada y deliciosa fragancia, resultado de la combinación de las más exquisitas notas de café, cacao, vainilla y especias.";"SI";"SI"
"aerosol-[apple]";"Aerosol Saphirus - Apple";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-apple-430x430.jpg";4500.00;NO;"Fresca salida a manzana verde combinada con hojas verdes y flores silvestres sumado a acordes acuosos que le otorgan personalidad y persistencia.";"SI";"SI"
"aerosol-[jazmin]";"Aerosol Saphirus - Jazmín";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-jazmin-430x430.jpg";4500.00;NO;"Una esencia distinguida que surge de notas de una lavanda aromática con sutiles aromas de estragón y eucaliptus, dejando para el cuerpo un envolvente bouquet de té verde, verbena y flores de manzanilla, todas estas notas descansan sobre un fondo balsámico y de maderas rubias, una fragancia con mucha salida, relajante y aromática.";"SI";"SI"
"aerosol-[marino]";"Aerosol Saphirus - Marino";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-marino-430x430.jpg";4500.00;NO;"Aroma de notas cítricas, herbales y marinas donde se destacan las flores de azahar, las hierbas recién cortadas y la frescura de las olas del mar.";"SI";"SI"
"aerosol-[pitanga]";"Aerosol Saphirus - Pitanga";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-pitanga-430x430.jpg";4500.00;NO;"Una fragancia frutal con acentos tropicales y efervescentes.";"SI";"SI"

"aerosol-[bebe]";"Aerosol Saphirus - Bebé";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-bebe-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Tierna fragancia cítrica floral. La nota de salida está caracterizada por la combinación del azahar dulce, cáscara de limón y bergamota. El delicado corazón floral, mezcla de neroli, naranja valencia y rosas dan forma junto con las notas de fondo dominadas por el habas tonka, cedro y almizcle blanco a esta exquisita combinación aromática.";"SI";"SI"
"aerosol-[peras-y-flores]";"Aerosol Saphirus - Peras y Flores";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-peras-y-flores-430x430.jpg";4500.00;NO;"Una nueva experiencia olfativa, sorprendente mezcla de peras maduras, sensual crema moka y manzana verdes.";"SI";"SI"
"aerosol-[guarana]";"Aerosol Saphirus - Guaraná";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-guarana-430x430.jpg";4500.00;NO;"Combinación tropical energizante de guaraná con la mezcla de la manzana verde, el durazno y los toques cítricos del limón.";"SI";"SI"
"aerosol-[oriente]";"Aerosol Saphirus - Oriente";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-oriente-430x430.jpg";4500.00;NO;"Una esencia oriental en la que el sándalo se mezcla con el delicado aroma de la flor de lirio.";"SI";"SI"

"aerosol-[hawai]";"Aerosol Saphirus - Hawai";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-hawai-430x430.jpg";4500.00;NO;"Refrescante acorde frutal cuya salida combina el melon, la anana, sandia, pepino, banana y galbano.";"SI";"SI"
"aerosol-[linah]";"Aerosol Saphirus - Linah";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-linah-430x430.jpg";4500.00;NO;"Dinámica y energética mezcla de cítricos con sutiles acordes frutales; en la salida se combinan acordes de naranja amarga, limón y bergamota; en el corazón se destacan las notas cítricas aldehídicas y la cáscara de naranja acompañado de un tierno bouquet frutado.";"SI";"SI"
"aerosol-[rocio]";"Aerosol Saphirus - Rocío";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-rocio-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Fresca fragancia floral donde se destacan el típico y delicado olor a ropa limpia, la combinación de notas aldehidicas y la presencia de rosas y flores blancas mezcladas con notas apolvadas y musk determinan la calidad de esta fragancia.";"SI";"SI"
"aerosol-[tokyo]";"Aerosol Saphirus - Tokyo";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-tokyo-430x430.jpg";4500.00;NO;"Fragancia fresca con cascaras de naranjas que combinan en un cocktel frutal de durazno, damasco y la nota acuosa de la pera, estas forman un delicado mix junto a las notas dulces de la vainilla y las notas ambaradas.";"SI";"SI"
"aerosol-[angel]";"Aerosol Saphirus - Angel";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-angel-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Una sutil fragancia sensual con notas de salida mandarina pomelo y azafrán corazón de lirio orquídea e ylang y un fondo de cedro, vainilla y almizcle blanco.";"SI";"SI"
"aerosol-[violetas]";"Aerosol Saphirus - Violetas";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-violetas-430x430.jpg";4500.00;NO;"Fragancia floral compuesta por pétalos aterciopelados de violetas combinados con flores blancas y hojas verdes que le dan una personalidad característica y propia.";"SI";"SI"
"aerosol-[tilo]";"Aerosol Saphirus - Tilo";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-tilo-430x430.jpg";4500.00;NO;"Bouquet de hojas verdes que destacan la transparencia y delicadeza de la flor de tilo junto con su fondo dulce y apolvado.";"SI";"SI"
"aerosol-[rosas]";"Aerosol Saphirus - Rosas";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-rosas-430x430.jpg";4500.00;NO;"Fragancia floral compuesta por pétalos de rosa natural con connotaciones frescas amaderadas y polvorosas.";"SI";"SI"
"aerosol-[miel-y-limon]";"Aerosol Saphirus - Miel y Limón";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-miel-y-limon-430x430.jpg";4500.00;NO;"Refinado y dulce acorde aromático cítrico que en su salida revela el suave limón California envuelto en un tenue acorde fresco con un corazón ligero de vainilla caramelo, dando paso a un fondo floral almizclado alimonado.";"SI";"SI"
"aerosol-[green]";"Aerosol Saphirus - Green";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-green-430x430.jpg";4500.00;NO;"Composición con notas de salida exóticas y potentes que van dando lugar a tiernos acordes cítricos dejando un persistente aroma floral verde especiado.";"SI";"SI"
"aerosol-[lola]";"Aerosol Saphirus - Lola";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-lola-430x430.jpg";4500.00;NO;"Salida fresca acuática y agreste que anuncian un corazón de loto acuático, algunas notas florales, helecho acuático y un fondo de madera.";"SI";"SI"
"aerosol-[faren]";"Aerosol Saphirus - Faren";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-faren-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Fragancia fina masculina que denota su carácter intenso con notas maderosas orientales y cítricas.";"SI";"SI"
"aerosol-[indiana]";"Aerosol Saphirus - Indiana";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-indiana-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Fragancia frutal con una salida dulce y tropical.";"SI";"SI"
"aerosol-[maracuya]";"Aerosol Saphirus - Maracuyá";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-maracuya-430x430.jpg";4500.00;NO;"Excéntrica fragancia con notas como la vainilla, durazno, bergamota y almizcles. Siendo fragancias cítricasflorales que nos envuelven de una manera deliciosa.";"SI";"SI"
"aerosol-[apolo]";"Aerosol Saphirus - Apolo";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-apolo-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Fragancia fina que expresa la sensualidad masculina en notas maderosas y amber.";"SI";"SI"
"aerosol-[bubblegum]";"Aerosol Saphirus - Bubblegum";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-bubblegum-430x430.jpg";4500.00;NO;"Fragancia frutal con una salida extrema, que denota el sabor de un chicle de Tutti Frutti.";"SI";"SI"
"aerosol-[blue]";"Aerosol Saphirus - Blue";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-blue-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Elegante fragancia que nos envuelve con notas florales frescas, manzanas rojas y frutos patagónicos y nos relaja con notas almizcladas, maderosas y amber.";"SI";"SI"
"aerosol-[manzana-canela]";"Aerosol Saphirus - Manzana Canela";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-manzana-y-canela-430x430.jpg";4500.00;NO;"Aroma frutado, con tonos rojos y toques de manzanas y peras silvestres, acompañada de una fina canela natural chocolatosa.";"SI";"SI"
"aerosol-[flowers]";"Aerosol Saphirus - Flowers";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-flowers-430x430.jpg";4500.00;NO;"Inspirado en fragancia de reconocida marca. Fragancia netamente primaveral, nos transporta a una ciudad soleada, cubierta de jazmines, violetas y delicadas rosas teniendo en su fondo suaves enlaces de vainillas y almizcles blancos, dando al ambiente un delicado aroma.";"SI";"SI"
"aerosol-[bamboo]";"Aerosol Saphirus - Bamboo";"Aerosoles";"https://saphirus.com.ar/wp-content/uploads/2022/06/saphirus-aerosoles-bamboo-430x430.jpg";4500.00;NO;"Una fragancia que nos envuelve en una frescura matinal con sus notas verdes y frutadas.";"SI";"SI"

[COMPLETAR LAS IMAGENES DE LOS AEROSOLES]

"aerosol-[orange]";"Aerosol Saphirus - Orange";"Aerosoles";"image";4500.00;NO;"Un cóctel refrescante de notas cítricas, dominado por la naranja dulce y chispeantes notas aldehídicas refuerza y redondea su aroma. El corazón de naranja valencia viene acompañado por notas alimonadas florales especiadas. El fondo dulce amaderado almizclado.";"SI";"SI"
"aerosol-[mito]";"Aerosol Saphirus - Mito";"Aerosoles";"image";4500.00;NO;"Inspirado en fragancia de reconocida marca. Fragancia frutal con acentos tropicales y efervescentes. El corazón una nota fresca de durazno acompañada por una mezcla frutal equilibrada con destellos de coco, flores blancas y violetas. La base dulce vainillada almizclada completan la composición.";"SI";"SI"
"aerosol-[coco-vai]";"Aerosol Saphirus - Coco Vai";"Aerosoles";"image";4500.00;NO;"Intensa fragancia de coco combinada con chauchas de vainilla envueltas en una nota láctea que las aglutina.";"SI";"SI"
"aerosol-[citrus]";"Aerosol Saphirus - Citrus";"Aerosoles";"image";4500.00;NO;"Explosivo mix cítrico fresco, con una salida de cáscara de naranja y limón verde apoyado en un corazón floral a base de jazmín.";"SI";"SI"
"aerosol-[uva]";"Aerosol Saphirus - Uva";"Aerosoles";"image";4500.00;NO;"Una salida frutal dulce matizada con maderas de violeta, agua de azahar y frutillas especiadas.";"SI";"SI"
"aerosol-[patio]";"Aerosol Saphirus - Patio";"Aerosoles";"image";4500.00;NO;"Envolvente bouquet floral basado en el exquisito aroma de jazmín y la clásica rosa resaltados por una salida aldehídica y levemente frutal. El fondo se presenta amaderado y cálido gracias al pachuli y el cedro.";"SI";"SI"
"aerosol-[papaya]";"Aerosol Saphirus - Papaya";"Aerosoles";"image";4500.00;NO;"Aromática y potente fragancia frutal donde prevalece el aroma de la papaya brasileña.";"SI";"SI"
"aerosol-[vainilla]";"Aerosol Saphirus - Vainilla";"Aerosoles";"image";4500.00;NO;"Deliciosa y difusiva fragancia vainilla que se presenta con chispas de Jazmín y Orquídea que le agregan suavidad y clase a la composición. La nota de clavo de olor en su cuerpo da entrada a sus notas de fondo que se caracterizan por su persistencia, formado por Vainillina, Cumarina y almizcle.";"SI";"SI"
